"state","city","longitud","latitude"
"MEXICO                      ","San Simon de Guerrero","-10000680956","1902307114"
"MEXICO                      ","Santo Tomas","-10025923532","1918321013"
"MEXICO                      ","Soyaniquilpan de Juarez","-9952381454","2000695893"
"MEXICO                      ","Sultepec","-9996643287","1885788338"
"MEXICO                      ","Tecamac","-9897445914","1971174770"
"MEXICO                      ","Tejupilco","-10015031012","1890390611"
"MEXICO                      ","Temamatla","-9887000341","1920125921"
"MEXICO                      ","Temascalapa","-9890166190","1982790710"
"MEXICO                      ","Temascalcingo","-10001009186","1991902030"
"MEXICO                      ","Temascaltepec","-10004093027","1904396230"
"MEXICO                      ","Temoaya","-9959264760","1947332867"
"MEXICO                      ","Tenancingo","-9960037555","1896487101"
"MEXICO                      ","Tenango del Aire","-9886239557","1915862355"
"MEXICO                      ","Tenango del Valle","-9958741004","1910516020"
"MEXICO                      ","Teoloyucan","-9915383425","1974976242"
"MEXICO                      ","Teotihuacan","-9886744444","1968639459"
"MEXICO                      ","Tepetlaoxtoc","-9882022450","1957328190"
"MEXICO                      ","Tepetlixpa","-9881264434","1903141264"
"MEXICO                      ","Tepotzotlan","-9923496477","1970413391"
"MEXICO                      ","Tequixquiac","-9914794436","1991074316"
"MEXICO                      ","Texcaltitlan","-9994140417","1893094041"
"MEXICO                      ","Texcalyacac","-9950188817","1913253211"
"MEXICO                      ","Texcoco","-9887304601","1951318705"
"MEXICO                      ","Tezoyuca","-9890865846","1958920327"
"MEXICO                      ","Tianguistenco","-9946757036","1917878849"
"MEXICO                      ","Timilpan","-9973376590","1987508980"
"MEXICO                      ","Tlalmanalco","-9879752698","1920573457"
"MEXICO                      ","Tlalnepantla de Baz","-9919093577","1954108090"
"MEXICO                      ","Tlatlaya","-10020865886","1861784806"
"MEXICO                      ","Toluca","-9964745725","1931337974"
"MEXICO                      ","Tonatico","-9966893943","1880392789"
"MEXICO                      ","Tultepec","-9912679391","1968421090"
"MEXICO                      ","Tultitlan","-9917216919","1964343978"
"MEXICO                      ","Valle de Bravo","-10013324222","1920092843"
"MEXICO                      ","Villa de Allende","-10014877650","1937352480"
"MEXICO                      ","Villa del Carbon","-9947507134","1971934278"
"MEXICO                      ","Villa Guerrero","-9963969820","1896247987"
"MEXICO                      ","Villa Victoria","-9999866569","1943848667"
"MEXICO                      ","Xonacatlan","-9952792011","1940508604"
"MEXICO                      ","Zacazonapan","-10025963316","1908097907"
"MEXICO                      ","Zacualpan","-9977552640","1871866770"
"MEXICO                      ","Zinacantepec","-9973267093","1929558828"
"MEXICO                      ","Zumpahuacan","-9958531084","1884005191"
"MEXICO                      ","Zumpango","-9910590219","1980948808"
"MEXICO                      ","Cuautitlan Izcalli","-9920869587","1968006354"
"MEXICO                      ","Valle de Chalco Solidaridad","-9894351222","1927079591"
"MEXICO                      ","Luvianos","-10030018099","1892470097"
"MEXICO                      ","San Jose del Rincon","-10015238021","1966272776"
"MEXICO                      ","Tonanitla","-9905289801","1969022159"
"MICHOACAN DE OCAMPO       ","Acuitzio","-10133271556","1949168274"
"MICHOACAN DE OCAMPO       ","Aguililla","-10279019703","1873883472"
"MICHOACAN DE OCAMPO       ","Angamacutiro","-10170890446","2014991510"
"MICHOACAN DE OCAMPO       ","Angangueo","-10028459238","1962057820"
"MICHOACAN DE OCAMPO       ","Apatzingan","-10237558965","1909130602"
"MICHOACAN DE OCAMPO       ","Aporo","-10041073776","1967027906"
"MICHOACAN DE OCAMPO       ","Aquila","-10350364763","1860041893"
"MICHOACAN DE OCAMPO       ","Ario","-10170936615","1921036007"
